معرف الدواء,اسم الدواء,المواد الفعالة,العيارات,الشكل الصيدلاني,المصنع,التركيب الأصلي,الشكل الأصلي,حالة المصدر
7554,Rabemax 20,rabeprazole,20mg,قرص مغلف,سيتي,rabeprazole 20mg / c-tab,coated-tab,بيانات مكتملة
7555,Renoxi 9,nonoxinol-9 100mg / ovule,,بويضة مهبلية,سيتي,nonoxinol-9 100mg / ovule,ovule,بيانات مكتملة
7556,Rhino,chlorpheniramine + paracetamol + phenylephrine,2mg + 325mg + 5mg,قرص مغلف,سيتي,chlorpheniramine 2mg+paracetamol 325mg+phenylephrine 5mg / tab,coated-tab,بيانات مكتملة
7557,Rhino Cold&cough,dextromethorphan + paracetamol + phenylephrine,10mg + 325mg + 5mg,قرص مغلف,سيتي,dextromethorphan 10mg+paracetamol 325mg+phenylephrine 5mg / c-tab,coated-tab,بيانات مكتملة
7558,Rhino Flu,chlorpheniramine + ibuprofen + phenylephrine,4mg + 200mg + 10mg,قرص مغلف,سيتي,chlorpheniramine 4mg+ibuprofen 200mg+phenylephrine 10mg / c-tab,coated-tab,بيانات مكتملة
7559,Rhino Fort,chlorpheniramine + paracetamol + phenylephrine,4mg + 550mg + 8mg,قرص,سيتي,chlorpheniramine 4mg+paracetamol 550mg+phenylephrine 8mg / tab,tab,بيانات مكتملة
7560,Rhino Plus Cold&Cough,chlorpheniramine + dextromethorphan + paracetamol + phenylephrine,2mg + 10mg + 325mg + 5mg,قرص مغلف,سيتي,chlorpheniramine 2mg+dextromethorphan 10mg+paracetamol 325mg+phenylephrine 5mg / c-tab,coated-tab,بيانات مكتملة
7561,Ribran,bran + calcium Carbonate + magnesium Sulfate,500mg + 50mg + 50mg,قرص,سيتي,bran 500mg+calcium Carbonate 50mg+magnesium Sulfate 50mg / tab,tab,بيانات مكتملة
7562,Rimobrax,chlordiazepoxide + clidinium,5mg + 2.5mg,كبسولة,سيتي,chlordiazepoxide 5mg+clidinium 2.5mg / cap,cap,بيانات مكتملة
7563,Rimodin Plus,calcium Carbonate + famotidine + magnesium Hydroxide 165mg / chew-tab,800mg + 10mg + ,قرص للمضغ,سيتي,calcium Carbonate 800mg+famotidine 10mg+magnesium Hydroxide 165mg / chew-tab,chew-tab,بيانات مكتملة
7564,Rimonitrin 0.5,glyceryl Tri Nitrate 0.5mg / sub Ling-tab,,sublingual-tab,سيتي,glyceryl Tri Nitrate 0.5mg / sub Ling-tab,sublingual-tab,بيانات مكتملة
7565,Rinase 100,bromelain,100.000i.u.,قرص,سيتي,bromelain 100.000i.u. / tab,tab,بيانات مكتملة
7566,Rino Rim,chlorpheniramine + paracetamol + phenylephrine,2mg + 325mg + 5mg,قرص,سيتي,chlorpheniramine 2mg+paracetamol 325mg+phenylephrine 5mg / c-tab,tab,بيانات مكتملة
7567,Rovameter,metronidazole + spiramycin,125mg + 750000i.u.,قرص مغلف,سيتي,metronidazole 125mg+spiramycin 750000i.u. / c-tab,coated-tab,بيانات مكتملة
7568,Rovameter Fort,metronidazole + spiramycin,250mg + 1500000i.u.,قرص مغلف,سيتي,metronidazole 250mg+spiramycin 1500000i.u. / c-tab,coated-tab,بيانات مكتملة
7569,Sanxab 2.5,apixaban,2.5mg,قرص مغلف,سيتي,apixaban 2.5mg / c-tab,coated-tab,بيانات مكتملة
7570,Sanxab 5,apixaban,5mg,قرص مغلف,سيتي,apixaban 5mg / c-tab,coated-tab,بيانات مكتملة
7571,Sedarim Fort,ascorbic Acid + acetyl Salicylic Acid 500mg / efferv-tab,200mg + ,قرص فوار,سيتي,ascorbic Acid 200mg+acetyl Salicylic Acid 500mg / efferv-tab,eff-tab,بيانات مكتملة
7572,Sel Plus,ascorbic Acid + selenium + vit A + vit E,6mg + 0.075mg + 1000i.u. + 15i.u.,قرص مغلف,سيتي,ascorbic Acid 6mg+selenium 0.075mg+vit A 1000i.u.+vit E 15i.u. / c-tab,coated-tab,بيانات مكتملة
7573,Senleep 25,diphenhydramine,25mg,كبسولة,سيتي,diphenhydramine 25mg / cap,cap,بيانات مكتملة
7574,Senleep 50,diphenhydramine,50mg,كبسولة,سيتي,diphenhydramine 50mg / cap,cap,بيانات مكتملة
7575,Senosid 15,sennosides,15mg,قرص,سيتي,sennosides 15mg / tab,tab,بيانات مكتملة
7576,Senosid 17,senna Extract,17mg,قرص,سيتي,senna Extract 17mg / tab,tab,بيانات مكتملة
7577,Senosid 25,sennosides,25mg,قرص,سيتي,sennosides 25mg / tab,tab,بيانات مكتملة
7578,Senosid 7.5,sennosides,7.5mg,قرص,سيتي,sennosides 7.5mg / tab,tab,بيانات مكتملة
7579,Seratozyme 5,serratiopeptidase,5mg,قرص مغلف,سيتي,serratiopeptidase 5mg / c-tab,coated-tab,بيانات مكتملة
7580,Seratozyme Forte 10,serratiopeptidase,10mg,قرص مغلف,سيتي,serratiopeptidase 10mg / c-tab,coated-tab,بيانات مكتملة
7581,Sleep More 1,melatonine,1mg,شراب,سيتي,melatonine 1mg / 5ml,syrup,بيانات مكتملة
7582,Sleep More 3,melatonine,3mg,قرص مغلف,سيتي,melatonine 3mg / c-tab,coated-tab,بيانات مكتملة
7583,Sorbi Lax 70%,sorbitol,70%,شراب,سيتي,sorbitol 70%,syrup,بيانات مكتملة
7584,Soulage,bromhexine + chlorpheniramine + guaifenesin,4mg + 2mg + 50mg,شراب,سيتي,bromhexine 4mg+chlorpheniramine 2mg+guaifenesin 50mg / 5ml,syrup,بيانات مكتملة
7585,Sulfazin,sulfasalazine,500mg,قرص,سيتي,sulfasalazine 500mg / tab,tab,بيانات مكتملة
7586,Tamsula 0.4,tamsulosin,0.4mg,قرص مغلف,سيتي,tamsulosin 0.4mg / c-tab,coated-tab,بيانات مكتملة
7587,Turbovas 10,rosuvastatin,10mg,قرص مغلف,سيتي,rosuvastatin 10mg / c-tab,coated-tab,بيانات مكتملة
7588,Turbovas 20,rosuvastatin,20mg,قرص مغلف,سيتي,rosuvastatin 20mg / c-tab,coated-tab,بيانات مكتملة
7589,Turbovas 40,rosuvastatin,40mg,قرص مغلف,سيتي,rosuvastatin 40mg / c-tab,coated-tab,بيانات مكتملة
7590,Turbovas 5,rosuvastatin,5mg,قرص مغلف,سيتي,rosuvastatin 5mg / c-tab,coated-tab,بيانات مكتملة
7591,Tussinaze,guaifenesin + oxomemazine,33.3mg + 1.65mg,شراب,سيتي,guaifenesin 33.3mg+oxomemazine 1.65mg / 5ml,syrup,بيانات مكتملة
7592,Vasodilate 10,perindopril Arginine,10mg,قرص مغلف,سيتي,perindopril Arginine 10mg / c-tab,coated-tab,بيانات مكتملة
7593,Vasodilate 2.5,perindopril Arginine,2.5mg,قرص مغلف,سيتي,perindopril Arginine 2.5mg / c-tab,coated-tab,بيانات مكتملة
7594,Vasodilate 5,perindopril Arginine,5mg,قرص مغلف,سيتي,perindopril Arginine 5mg / c-tab,coated-tab,بيانات مكتملة
7595,Vercid 100,flubendazole,100mg,قرص,سيتي,flubendazole 100mg / tab,tab,بيانات مكتملة
7596,Verticont 16,betahistine,16mg,قرص,سيتي,betahistine 16mg / tab,tab,بيانات مكتملة
7597,Verticont 24,betahistine,24mg,قرص,سيتي,betahistine 24mg / tab,tab,بيانات مكتملة
7598,Verticont 8,betahistine,8mg,قرص,سيتي,betahistine 8mg / tab,tab,بيانات مكتملة
7599,Vitavision,فيتامينات ومعادن لمرضى السكر نمط ثاني,,قرص,سيتي,فيتامينات ومعادن لمرضى السكر نمط ثاني,tab,بيانات مكتملة
7600,Vitrosand 2.5,oxybutynin,2.5mg,شراب,سيتي,oxybutynin 2.5mg / 5ml,syrup,بيانات مكتملة
7601,Vitrosand 5,oxybutynin,5mg,شراب,سيتي,oxybutynin 5mg / 5ml,syrup,بيانات مكتملة
7602,Zartens 160,valsartan,160mg,كبسولة,سيتي,valsartan 160mg / cap,cap,بيانات مكتملة
7603,Zartens 80,valsartan,80mg,كبسولة,سيتي,valsartan 80mg / cap,cap,بيانات مكتملة
7604,Zartens Plus 160/12.5,H.C.T.Z. ( Hydro Chlor Thia Zide ) + valsartan,12.5mg + 160mg,قرص مغلف,سيتي,H.C.T.Z. ( Hydro Chlor Thia Zide ) 12.5mg+valsartan 160mg / c-tab,coated-tab,بيانات مكتملة
7605,Zartens Plus 160/25,H.C.T.Z. ( Hydro Chlor Thia Zide ) + valsartan,25mg + 160mg,قرص مغلف,سيتي,H.C.T.Z. ( Hydro Chlor Thia Zide ) 25mg+valsartan 160mg / c-tab,coated-tab,بيانات مكتملة
7606,Zartens Plus 320/12.5,H.C.T.Z. ( Hydro Chlor Thia Zide ) + valsartan,12.5mg + 320mg,قرص مغلف,سيتي,H.C.T.Z. ( Hydro Chlor Thia Zide ) 12.5mg+valsartan 320mg / c-tab,coated-tab,بيانات مكتملة
7607,Zartens Plus 320/25,H.C.T.Z. ( Hydro Chlor Thia Zide ) + valsartan,25mg + 320mg,قرص مغلف,سيتي,H.C.T.Z. ( Hydro Chlor Thia Zide ) 25mg+valsartan 320mg / c-tab,coated-tab,بيانات مكتملة
7608,Zartens Plus 80/12.5,H.C.T.Z. ( Hydro Chlor Thia Zide ) + valsartan,12.5mg + 80mg,قرص مغلف,سيتي,H.C.T.Z. ( Hydro Chlor Thia Zide ) 12.5mg+valsartan 80mg / c-tab,coated-tab,بيانات مكتملة
7609,Zetrac 100,itraconazole,100mg,كبسولة,سيتي,itraconazole 100mg / cap,cap,بيانات مكتملة
7610,Zn2F,ferrous Sulfate + folic Acid + zinc Sulfate,50mg + 0.5mg + 22.5mg,كبسولة,سيتي,ferrous Sulfate 50mg+folic Acid 0.5mg+zinc Sulfate 22.5mg / cap,cap,بيانات مكتملة
7611,Zolincare 30,dexlansoprazole,30mg,كبسولة,سيتي,dexlansoprazole 30mg / cap,cap,بيانات مكتملة
7612,Zolincare 60,dexlansoprazole,60mg,كبسولة,سيتي,dexlansoprazole 60mg / cap,cap,بيانات مكتملة
7613,Zugarel 10,prasugrel,10mg,قرص مغلف,سيتي,prasugrel 10mg / c-tab,coated-tab,بيانات مكتملة
7614,Zugarel 5,prasugrel,5mg,قرص مغلف,سيتي,prasugrel 5mg / c-tab,coated-tab,بيانات مكتملة
7615,Midecal Water Deionized,purified Water,,bag,سيردا,purified Water,bag,بيانات مكتملة
7616,Ringer Lactate,calcium Chloride + potassium Chloride + Sod.Chloride + sodium Lactate,200mg + 300mg + 6000mg + 3100mg / 1000ml,P.P.Bag+port+butterfly Cap,سيردا,calcium Chloride 200mg+potassium Chloride 300mg+Sod.Chloride 6000mg+sodium Lactate 3100mg / 1000ml,P.P.Bag+port+butterfly Cap,بيانات مكتملة
7617,Serum Sod.Chloride 0.9%,Sod.Chloride,0.9%,P.P.Bag+port+butterfly Cap,سيردا,Sod.Chloride 0.9%,P.P.Bag+port+butterfly Cap,بيانات مكتملة
7618,Serum Voluepharma,hydroxymethyl Starch + Sod.Chloride,6% + 0.9%,P.P.Bag+port+butterfly Cap,سيردا,hydroxymethyl Starch 6%+Sod.Chloride 0.9%,P.P.Bag+port+butterfly Cap,بيانات مكتملة
7619,Water Irrigation,sterile Water for irrigation,,P.P.Bag+port+butterfly Cap,سيردا,sterile Water for irrigation,P.P.Bag+port+butterfly Cap,بيانات مكتملة
7620,Baby Sp,سائل تعويض شوارد,,,سيريا,سائل تعويض شوارد,,الشكل الصيدلاني غير موجود في APK
7621,Betamethason,,,كريم,سيريا,,cream,التركيب غير موجود في APK
7622,Cetapruf,ibuprofen + paracetamol,100mg + 160mg,شراب,سيريا,ibuprofen 100mg+paracetamol 160mg / 5ml,syrup,بيانات مكتملة
7623,Clortrimazole 1%,,,كريم,سيريا,,cream,التركيب غير موجود في APK
7624,Clortrimazole 2%,,,vag-cream,سيريا,,vag-cream,التركيب غير موجود في APK
7625,Dal3,,,قطرات فموية,سيريا,,oral-drops,التركيب غير موجود في APK
7626,Derma,,,كريم,سيريا,,cream,التركيب غير موجود في APK
7627,Dexanidin,,,كريم,سيريا,,cream,التركيب غير موجود في APK
7628,Gentamicin 0.3%,,,كريم,سيريا,,cream,التركيب غير موجود في APK
7629,Gripe Mol C,chlorpheniramine + paracetamol + vit C,0.5mg + 120mg + 50mg,شراب,سيريا,chlorpheniramine 0.5mg+paracetamol 120mg+vit C 50mg / 5ml,syrup,بيانات مكتملة
7630,Siria Cetamol 500,paracetamol,500mg,قرص,سيريا,paracetamol 500mg / tab,tab,بيانات مكتملة
7631,Siria Cold,chlorpheniramine + paracetamol + phenylephrine,1mg + 160mg + 1mg,شراب,سيريا,chlorpheniramine 1mg+paracetamol 160mg+phenylephrine 1mg / 5ml,syrup,بيانات مكتملة
7632,Siriacon 40,simethicone 40mg / ml,,قطرات فموية,سيريا,simethicone 40mg / ml,oral-drops,بيانات مكتملة
7633,Siria D3,,,,سيريا,,,التركيب غير موجود في APK
7634,Siria Grip,chlorpheniramine + dextromethorphan + paracetamol + phenylephrine,1mg + 50mg + 160mg + 1mg,,سيريا,chlorpheniramine 1mg+dextromethorphan 50mg+paracetamol 160mg+phenylephrine 1mg / 5ml,,الشكل الصيدلاني غير موجود في APK
7635,Siriamix,bromhexine + guaifenesin + menthol + terbutaline,4mg + 50mg + 2.5mg + 1.25mg,شراب,سيريا,bromhexine 4mg+guaifenesin 50mg+menthol 2.5mg+terbutaline 1.25mg / 5ml,syrup,بيانات مكتملة
7636,Siriatin,,,قطرات فموية,سيريا,,oral-drops,التركيب غير موجود في APK
7637,Tampra 100,paracetamol 100mg / ml,,قطرات فموية,سيريا,paracetamol 100mg / ml,oral-drops,بيانات مكتملة
7638,Tampra 160,paracetamol,160mg,شراب,سيريا,paracetamol 160mg / 5ml,syrup,بيانات مكتملة
7639,Trito,,,,سيريا,,,التركيب غير موجود في APK
7640,Bio Hair,copper Sulfate + cysteine + folic Acid + methionine + selenium + vit B5 + vit B6 + vit E + zinc,1mg + 50mg + 0.3mg + 250mg + 0.5mg + 9mg + 2mg + 7.5mg + 7.5mg,كبسولة,سيفكو,copper Sulfate 1mg+cysteine 50mg+folic Acid 0.3mg+methionine 250mg+selenium 0.5mg+vit B5 9mg+vit B6 2mg+vit E 7.5mg+zinc 7.5mg / cap,cap,بيانات مكتملة
7641,Des Loratadine 2.5,desloratadine,2.5mg,شراب,سيفكو,desloratadine 2.5mg / 5ml,syrup,بيانات مكتملة
7642,Erythromycin 0.5%,erythromycin,0.5%,eye-oint,سيفكو,erythromycin 0.5%,eye-oint,بيانات مكتملة
7643,Olexar 2.5,olanzapine,2.5mg,قرص مغلف,سيفكو,olanzapine 2.5mg / c-tab,coated-tab,بيانات مكتملة
7644,Stopfat 120,orlistat,120mg,كبسولة,سيفكو,orlistat 120mg / cap,cap,بيانات مكتملة
7645,Syalox,aluminium Hydroxide + magnesium Hydroxide,225mg + 200mg,معلق,سيفكو,aluminium Hydroxide 225mg+magnesium Hydroxide 200mg / 5ml,susp,بيانات مكتملة
7646,Ultra Green,green Tea Extract + green Tea Leaves Powder + ascorbic Acid,160mg + 120mg + 20mg,قرص,سيفكو,green Tea Extract 160mg+green Tea Leaves Powder 120mg+ascorbic Acid 20mg / tab,tab,بيانات مكتملة
7647,Argi Taj,L-Arginine + L-Carnitine, + ,أمبولة,شام,L-Arginine +L-Carnitine,amp,بيانات مكتملة
7648,Dofec 100,diclofenac Sodium,100mg,قرص,شام,diclofenac Sodium 100mg / c-tab,tab,بيانات مكتملة
7649,Folacid 5,folic Acid,5mg,قرص,شام,folic Acid 5mg / tab,tab,بيانات مكتملة
7650,Micogyne,metronidazole + miconazole 150mg / ovule,500mg + ,بويضة مهبلية,شام,metronidazole 500mg+miconazole 150mg / ovule,ovule,بيانات مكتملة
7651,Paracodin,codeine + paracetamol,10mg + 500mg,قرص,شام,codeine 10mg+paracetamol 500mg / tab,tab,بيانات مكتملة
7652,Paracodin 8,codeine + paracetamol,8mg + 500mg,قرص,شام,codeine 8mg+paracetamol 500mg / tab,tab,بيانات مكتملة
7653,Aciprazol 20,rabeprazole,20mg,قرص مغلف,شرق,rabeprazole 20mg / tab,coated-tab,بيانات مكتملة
7654,Agripino C,codeine + paracetamol + ascorbic Acid,8mg + 300mg + 200mg,قرص مغلف,شرق,codeine 8mg+paracetamol 300mg+ascorbic Acid 200mg / c-tab,coated-tab,بيانات مكتملة
7655,Agripino Vit,ascorbic Acid + paracetamol,100mg + 500mg,قرص,شرق,ascorbic Acid 100mg+paracetamol 500mg / tab,tab,بيانات مكتملة
7656,Amidarone 200,amiodarone,200mg,قرص,شرق,amiodarone 200mg / tab,tab,بيانات مكتملة
7657,Augmaclav 1000,amoxicillin + clavulanic Acid,875mg + 125mg,قرص مغلف,شرق,amoxicillin 875mg+clavulanic Acid 125mg / c-tab,coated-tab,بيانات مكتملة
7658,Augmaclav 625,amoxicillin + clavulanic Acid,500mg + 125mg,قرص مغلف,شرق,amoxicillin 500mg+clavulanic Acid 125mg / c-tab,coated-tab,بيانات مكتملة
7659,Azepan 10,diazepam,10mg,قرص,شرق,diazepam 10mg / tab,tab,بيانات مكتملة
7660,Azepan 2,diazepam,2mg,قرص,شرق,diazepam 2mg / tab,tab,بيانات مكتملة
7661,Azepan 5,diazepam,5mg,قرص,شرق,diazepam 5mg / tab,tab,بيانات مكتملة
7662,Carbazepin 200,carbamazepine,200mg,قرص,شرق,carbamazepine 200mg / tab,tab,بيانات مكتملة
7663,Carbin SR 200,carbamazepine 400mg / SR-tab,,SR-tab,شرق,carbamazepine 400mg / SR-tab,SR-tab,بيانات مكتملة
7664,Carbin SR 400,carbamazepine 400mg / SR-tab,,SR-tab,شرق,carbamazepine 400mg / SR-tab,SR-tab,بيانات مكتملة
7665,Celecox 100,celecoxib,100mg,كبسولة,شرق,celecoxib 100mg / cap,cap,بيانات مكتملة
7666,Celecox 200,celecoxib,200mg,كبسولة,شرق,celecoxib 200mg / cap,cap,بيانات مكتملة
7667,Cycloval 500,valacyclovir,500mg,قرص مغلف,شرق,valacyclovir 500mg / c-tab,coated-tab,بيانات مكتملة
7668,Diarixone 100,furazolidone,100mg,قرص,شرق,furazolidone 100mg / tab,tab,بيانات مكتملة
7669,Dinide 500,diloxanide,500mg,قرص,شرق,diloxanide 500mg / tab,tab,بيانات مكتملة
7670,Dinide Plus 200,diloxanide + metronidazole,200mg + 250mg,قرص,شرق,diloxanide 200mg+metronidazole 250mg / tab,tab,بيانات مكتملة
7671,Epictal 100,lamotrigine,100mg,قرص,شرق,lamotrigine 100mg / tab,tab,بيانات مكتملة
7672,Epictal 25,lamotrigine,25mg,قرص,شرق,lamotrigine 25mg / tab,tab,بيانات مكتملة
7673,Felocard SR 10,felodipine 10mg / SR-cap,,SR-cap,شرق,felodipine 10mg / SR-cap,SR-cap,بيانات مكتملة
7674,Felocard SR 2.5,felodipine 2.5mg / SR-cap,,SR-cap,شرق,felodipine 2.5mg / SR-cap,SR-cap,بيانات مكتملة
7675,Felocard SR 5,felodipine 5mg / SR-cap,,SR-cap,شرق,felodipine 5mg / SR-cap,SR-cap,بيانات مكتملة
7676,Gatiflox 200,gatifloxacin,200mg,قرص مغلف,شرق,gatifloxacin 200mg / c-tab,coated-tab,بيانات مكتملة
7677,Gatiflox 400,gatifloxacin,400mg,قرص مغلف,شرق,gatifloxacin 400mg / c-tab,coated-tab,بيانات مكتملة
7678,Helmidazole 400,albendazole,400mg,قرص,شرق,albendazole 400mg / tab,tab,بيانات مكتملة
7679,Imperan 10,metoclopramide,10mg,قرص,شرق,metoclopramide 10mg / tab,tab,بيانات مكتملة
